p,n_scc,largest_scc
0.000000, 10000, 1
0.000001, 10000, 1
0.000002, 10000, 1
0.000003, 10000, 1
0.000004, 10000, 1
0.000005, 10000, 1
0.000006, 10000, 1
0.000007, 10000, 1
0.000008, 10000, 1
0.000009, 10000, 1
0.000010, 10000, 1
0.000011, 10000, 1
0.000012, 10000, 1
0.000013, 10000, 1
0.000014, 10000, 1
0.000015, 10000, 1
0.000016, 10000, 1
0.000017, 10000, 1
0.000018, 10000, 1
0.000019, 10000, 1
0.000020, 10000, 1
0.000021, 10000, 1
0.000022, 10000, 1
0.000023, 10000, 1
0.000024, 10000, 1
0.000025, 10000, 1
0.000026, 10000, 1
0.000027, 10000, 1
0.000028, 10000, 1
0.000029, 9999, 2
0.000030, 10000, 1
0.000031, 10000, 1
0.000032, 9999, 2
0.000033, 10000, 1
0.000034, 9997, 4
0.000035, 10000, 1
0.000036, 10000, 1
0.000037, 10000, 1
0.000038, 10000, 1
0.000039, 10000, 1
0.000040, 10000, 1
0.000041, 9999, 2
0.000042, 10000, 1
0.000043, 10000, 1
0.000044, 10000, 1
0.000045, 10000, 1
0.000046, 10000, 1
0.000047, 10000, 1
0.000048, 10000, 1
0.000049, 9998, 3
0.000050, 10000, 1
0.000051, 10000, 1
0.000052, 10000, 1
0.000053, 10000, 1
0.000054, 10000, 1
0.000055, 10000, 1
0.000056, 10000, 1
0.000057, 10000, 1
0.000058, 9999, 2
0.000059, 9997, 2
0.000060, 9998, 3
0.000061, 10000, 1
0.000062, 9999, 2
0.000063, 9999, 2
0.000064, 9999, 2
0.000065, 9998, 2
0.000066, 9999, 2
0.000067, 10000, 1
0.000068, 9998, 3
0.000069, 9998, 3
0.000070, 9999, 2
0.000071, 10000, 1
0.000072, 9999, 2
0.000073, 9999, 2
0.000074, 9997, 4
0.000075, 10000, 1
0.000076, 9993, 6
0.000077, 9998, 3
0.000078, 9991, 10
0.000079, 9997, 4
0.000080, 9998, 3
0.000081, 9998, 3
0.000082, 10000, 1
0.000083, 10000, 1
0.000084, 9984, 16
0.000085, 10000, 1
0.000086, 9995, 5
0.000087, 10000, 1
0.000088, 9992, 7
0.000089, 9997, 3
0.000090, 9997, 3
0.000091, 9993, 4
0.000092, 9978, 18
0.000093, 9998, 3
0.000094, 10000, 1
0.000095, 9985, 8
0.000096, 9987, 12
0.000097, 10000, 1
0.000098, 9985, 7
0.000099, 9990, 9
0.000100, 10000, 1
0.000101, 9996, 5
0.000102, 9875, 105
0.000103, 9832, 169
0.000104, 9902, 98
0.000105, 9856, 132
0.000106, 9941, 57
0.000107, 9869, 131
0.000108, 9770, 221
0.000109, 9668, 331
0.000110, 9828, 87
0.000111, 9560, 432
0.000112, 9735, 235
0.000113, 9644, 355
0.000114, 9176, 823
0.000115, 9127, 870
0.000116, 9538, 444
0.000117, 8716, 1279
0.000118, 9366, 625
0.000119, 9051, 950
0.000120, 9218, 778
0.000121, 8943, 1054
0.000122, 8936, 1063
0.000123, 9048, 952
0.000124, 8810, 1186
0.000125, 8492, 1508
0.000126, 8509, 1490
0.000127, 8466, 1534
0.000128, 8526, 1472
0.000129, 8220, 1772
0.000130, 8252, 1749
0.000131, 8336, 1665
0.000132, 8408, 1591
0.000133, 7828, 2173
0.000134, 8215, 1784
0.000135, 7898, 2102
0.000136, 7704, 2289
0.000137, 7625, 2376
0.000138, 7262, 2737
0.000139, 7502, 2496
0.000140, 7187, 2812
0.000141, 7524, 2474
0.000142, 7371, 2630
0.000143, 6918, 3082
0.000144, 7082, 2919
0.000145, 6923, 3077
0.000146, 6923, 3076
0.000147, 6824, 3175
0.000148, 6718, 3280
0.000149, 6657, 3344
0.000150, 6653, 3348
0.000151, 6710, 3291
0.000152, 6509, 3489
0.000153, 6418, 3583
0.000154, 6222, 3779
0.000155, 6335, 3666
0.000156, 6034, 3967
0.000157, 6044, 3956
0.000158, 6067, 3934
0.000159, 6173, 3828
0.000160, 5870, 4130
0.000161, 5841, 4160
0.000162, 5626, 4375
0.000163, 5845, 4156
0.000164, 5575, 4426
0.000165, 5584, 4409
0.000166, 5094, 4907
0.000167, 5304, 4697
0.000168, 5302, 4699
0.000169, 5262, 4739
0.000170, 5308, 4693
0.000171, 5168, 4832
0.000172, 5030, 4971
0.000173, 4978, 5023
0.000174, 5061, 4940
0.000175, 4831, 5169
0.000176, 4849, 5151
0.000177, 4844, 5157
0.000178, 4865, 5136
0.000179, 4620, 5381
0.000180, 4762, 5239
0.000181, 4579, 5421
0.000182, 4730, 5271
0.000183, 4304, 5697
0.000184, 4262, 5738
0.000185, 4385, 5616
0.000186, 4275, 5726
0.000187, 4264, 5737
0.000188, 4135, 5866
0.000189, 4299, 5700
0.000190, 4043, 5957
0.000191, 3949, 6048
0.000192, 3974, 6027
0.000193, 3969, 6032
0.000194, 3909, 6092
0.000195, 3980, 6021
0.000196, 3946, 6055
0.000197, 3745, 6256
0.000198, 3713, 6288
0.000199, 3673, 6328
0.000200, 3701, 6299
0.000201, 3455, 6546
0.000202, 3614, 6386
0.000203, 3499, 6502
0.000204, 3484, 6517
0.000205, 3572, 6429
0.000206, 3527, 6474
0.000207, 3414, 6587
0.000208, 3319, 6682
0.000209, 3260, 6741
0.000210, 3340, 6661
0.000211, 3198, 6803
0.000212, 3093, 6908
0.000213, 3028, 6973
