p,n_scc,largest_scc
0.000000, 100, 1
0.000100, 100, 1
0.000200, 100, 1
0.000300, 100, 1
0.000400, 100, 1
0.000500, 100, 1
0.000600, 100, 1
0.000700, 100, 1
0.000800, 100, 1
0.000900, 100, 1
0.001000, 100, 1
0.001100, 100, 1
0.001200, 100, 1
0.001300, 100, 1
0.001400, 100, 1
0.001500, 100, 1
0.001600, 100, 1
0.001700, 100, 1
0.001800, 100, 1
0.001900, 100, 1
0.002000, 100, 1
0.002100, 100, 1
0.002200, 100, 1
0.002300, 100, 1
0.002400, 100, 1
0.002500, 100, 1
0.002600, 99, 2
0.002700, 100, 1
0.002800, 100, 1
0.002900, 100, 1
0.003000, 100, 1
0.003100, 99, 2
0.003200, 100, 1
0.003300, 100, 1
0.003400, 100, 1
0.003500, 99, 2
0.003600, 100, 1
0.003700, 100, 1
0.003800, 100, 1
0.003900, 100, 1
0.004000, 100, 1
0.004100, 100, 1
0.004200, 100, 1
0.004300, 97, 4
0.004400, 100, 1
0.004500, 100, 1
0.004600, 100, 1
0.004700, 100, 1
0.004800, 100, 1
0.004900, 99, 2
0.005000, 100, 1
0.005100, 100, 1
0.005200, 99, 2
0.005300, 100, 1
0.005400, 100, 1
0.005500, 96, 4
0.005600, 100, 1
0.005700, 99, 2
0.005800, 100, 1
0.005900, 100, 1
0.006000, 99, 2
0.006100, 100, 1
0.006200, 100, 1
0.006300, 100, 1
0.006400, 100, 1
0.006500, 100, 1
0.006600, 98, 3
0.006700, 98, 2
0.006800, 100, 1
0.006900, 99, 2
0.007000, 100, 1
0.007100, 100, 1
0.007200, 99, 2
0.007300, 100, 1
0.007400, 98, 3
0.007500, 99, 2
0.007600, 100, 1
0.007700, 99, 2
0.007800, 94, 5
0.007900, 93, 7
0.008000, 100, 1
0.008100, 96, 5
0.008200, 100, 1
0.008300, 98, 3
0.008400, 100, 1
0.008500, 100, 1
0.008600, 100, 1
0.008700, 94, 7
0.008800, 100, 1
0.008900, 96, 4
0.009000, 100, 1
0.009100, 100, 1
0.009200, 99, 2
0.009300, 95, 4
0.009400, 100, 1
0.009500, 97, 3
0.009600, 99, 2
0.009700, 87, 14
0.009800, 92, 6
0.009900, 90, 6
0.010000, 95, 6
0.010100, 81, 17
0.010200, 100, 1
0.010300, 98, 3
0.010400, 96, 4
0.010500, 94, 5
0.010600, 100, 1
0.010700, 99, 2
0.010800, 93, 5
0.010900, 99, 2
0.011000, 82, 13
0.011100, 95, 3
0.011200, 78, 11
0.011300, 99, 2
0.011400, 85, 16
0.011500, 81, 19
0.011600, 94, 6
0.011700, 88, 8
0.011800, 99, 2
0.011900, 95, 3
0.012000, 95, 6
0.012100, 94, 4
0.012200, 92, 9
0.012300, 94, 5
0.012400, 88, 6
0.012500, 73, 27
0.012600, 90, 10
0.012700, 65, 36
0.012800, 72, 24
0.012900, 76, 25
0.013000, 84, 12
0.013100, 71, 30
0.013200, 75, 20
0.013300, 89, 12
0.013400, 50, 49
0.013500, 100, 1
0.013600, 80, 14
0.013700, 95, 5
0.013800, 62, 37
0.013900, 68, 32
0.014000, 88, 12
0.014100, 97, 3
0.014200, 96, 3
0.014300, 83, 16
0.014400, 74, 27
0.014500, 81, 20
0.014600, 50, 51
0.014700, 76, 24
0.014800, 69, 29
0.014900, 79, 12
0.015000, 58, 34
0.015100, 88, 9
0.015200, 87, 9
0.015300, 52, 49
0.015400, 95, 6
0.015500, 58, 42
0.015600, 56, 45
0.015700, 94, 5
0.015800, 57, 44
0.015900, 58, 43
0.016000, 58, 43
0.016100, 56, 45
0.016200, 58, 43
0.016300, 68, 31
0.016400, 56, 40
0.016500, 55, 46
0.016600, 47, 54
0.016700, 53, 48
0.016800, 40, 61
0.016900, 54, 47
0.017000, 96, 4
0.017100, 54, 47
0.017200, 52, 49
0.017300, 58, 42
0.017400, 32, 67
0.017500, 49, 52
0.017600, 34, 67
0.017700, 70, 29
0.017800, 47, 51
0.017900, 49, 52
0.018000, 48, 53
0.018100, 50, 51
0.018200, 34, 67
0.018300, 58, 43
0.018400, 57, 44
0.018500, 65, 36
0.018600, 34, 67
0.018700, 52, 49
0.018800, 44, 56
0.018900, 40, 61
0.019000, 38, 63
0.019100, 38, 63
0.019200, 41, 56
0.019300, 45, 56
0.019400, 40, 60
0.019500, 34, 66
0.019600, 61, 40
0.019700, 21, 80
0.019800, 28, 73
0.019900, 39, 62
0.020000, 40, 61
0.020100, 30, 71
0.020200, 32, 69
0.020300, 45, 56
0.020400, 40, 61
0.020500, 46, 54
0.020600, 35, 66
0.020700, 24, 77
0.020800, 41, 60
0.020900, 22, 79
0.021000, 35, 66
0.021100, 26, 73
0.021200, 32, 68
0.021300, 34, 67
0.021400, 54, 47
0.021500, 26, 75
0.021600, 36, 65
0.021700, 26, 75
0.021800, 19, 82
0.021900, 21, 80
0.022000, 56, 45
0.022100, 33, 68
0.022200, 25, 76
0.022300, 25, 76
0.022400, 22, 79
0.022500, 28, 73
0.022600, 21, 80
0.022700, 32, 69
0.022800, 19, 82
0.022900, 25, 76
0.023000, 22, 79
0.023100, 32, 69
0.023200, 41, 60
0.023300, 36, 65
0.023400, 48, 51
0.023500, 25, 75
0.023600, 28, 73
0.023700, 19, 82
0.023800, 20, 81
0.023900, 21, 80
0.024000, 31, 70
0.024100, 22, 79
0.024200, 23, 78
0.024300, 25, 76
0.024400, 35, 66
0.024500, 21, 80
0.024600, 19, 82
0.024700, 22, 79
0.024800, 19, 82
0.024900, 20, 81
0.025000, 21, 80
0.025100, 24, 77
0.025200, 20, 81
0.025300, 24, 76
0.025400, 14, 87
0.025500, 16, 84
0.025600, 26, 74
0.025700, 26, 75
0.025800, 27, 74
